"Season","No. overall","No. in season","Guests","guests","winner","Timeslot","Original air date","Viewers"
1,1,1,"Ed Kavalee, Jane Kennedy, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Jane Kennedy, Troy Kinne, Rachel Corbett, Sam Pang","Rachel Corbett","7 pm Sunday","3 November 2013","301,000[1]"
1,2,2,"Ed Kavalee, Kate Langbroek, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Kate Langbroek, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee","7 pm Sunday","10 November 2013","420,000[2]"
1,3,3,"Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Jane Kennedy","7 pm Sunday","17 November 2013","352,000[3]"
1,4,4,"Ed Kavalee, Celia Pacquola, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Celia Pacquola, Troy Kinne, Rachel Corbett, Sam Pang","Celia Pacquola","7 pm Sunday","24 November 2013","294,000[4]"
1,5,5,"Ed Kavalee, Jane Kennedy, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Glenn Robbins, Celia Pacquola, Sam Pang","Ed Kavalee","7 pm Sunday","1 December 2013","396,000[5]"
1,6,6,"Ed Kavalee, Jane Kennedy, Glenn Robbins, Ronny Chieng, Sam Pang","Ed Kavalee, Jane Kennedy, Glenn Robbins, Ronny Chieng, Sam Pang","Ed Kavalee","7 pm Sunday","8 December 2013","379,000[6]"
1,7,7,"Ed Kavalee, Celia Pacquola, Mick Molloy, Rachel Corbett, Sam Pang","Ed Kavalee, Celia Pacquola, Mick Molloy, Rachel Corbett, Sam Pang","Celia Pacquola","7 pm Sunday","15 December 2013","N/A"
1,8,8,"Ed Kavalee, Kate Langbroek, Troy Kinne, Tegan Higginbotham, Sam Pang","Ed Kavalee, Kate Langbroek, Troy Kinne, Tegan Higginbotham, Sam Pang","Ed Kavalee","6 pm Sunday[note 1]","22 December 2013","235,000[7]"
2,9,1,"Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","6 pm Sunday","23 February 2014","168,000[8]"
2,10,2,"Ed Kavalee, Chrissie Swan, Troy Kinne, Rachel Corbett, Sam Pang","Ed Kavalee, Chrissie Swan, Troy Kinne, Rachel Corbett, Sam Pang","Chrissie Swan","6 pm Sunday","2 March 2014","226,000[9]"
2,11,3,"Ed Kavalee, Jane Kennedy, Ronny Chieng, Kate Langbroek, Sam Pang","Ed Kavalee, Jane Kennedy, Ronny Chieng, Kate Langbroek, Sam Pang","Jane Kennedy","6 pm Sunday[note 2]","9 March 2014","195,000[10]"
2,12,4,"Ed Kavalee, Chrissie Swan, Glenn Robbins, Tegan Higginbotham, Sam Pang","Ed Kavalee, Chrissie Swan, Glenn Robbins, Tegan Higginbotham, Sam Pang","Chrissie Swan","7 pm Sunday[note 3]","16 March 2014","276,000[11]"
2,13,5,"Lehmo, Cal Wilson, Dave Hughes, Celia Pacquola, Sam Pang","Lehmo, Cal Wilson, Dave Hughes, Celia Pacquola, Sam Pang","Cal Wilson","6 pm Sunday","23 March 2014","193,000[12]"
2,14,6,"Ed Kavalee, Jane Kennedy, Glenn Robbins, Jen Kirkman, Sam Pang","Ed Kavalee, Jane Kennedy, Glenn Robbins, Jen Kirkman, Sam Pang","Glenn Robbins","6 pm Sunday","30 March 2014","N/A"
2,15,7,"Ed Kavalee, Sara Pascoe, Josh Lawson, Celia Pacquola, Sam Pang","Ed Kavalee, Sara Pascoe, Josh Lawson, Celia Pacquola, Sam Pang","Celia Pacquola","6 pm Sunday","6 April 2014","231,000[13]"
2,16,8,"Ed Kavalee, Lehmo, Mick Molloy, Fifi Box, Sam Pang","Ed Kavalee, Lehmo, Mick Molloy, Fifi Box, Sam Pang","Fifi Box","9:30 pm Monday","19 May 2014","164,000[14]"
2,17,9,"Ed Kavalee, Jane Kennedy, Dave Hughes, Kate Langbroek, Sam Pang","Ed Kavalee, Jane Kennedy, Dave Hughes, Kate Langbroek, Sam Pang","Ed Kavalee","9:30 pm Monday","26 May 2014","173,000[15]"
2,18,10,"Ed Kavalee, Ronny Chieng, Josh Lawson, Cal Wilson, Sam Pang","Ed Kavalee, Ronny Chieng, Josh Lawson, Cal Wilson, Sam Pang","Cal Wilson","9:30 pm Monday","2 June 2014","186,000[16]"
2,19,11,"Ed Kavalee, Dave Hughes, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Dave Hughes, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","9:30 pm Monday","9 June 2014","212,000[17]"
2,20,12,"Ed Kavalee, Kate Langbroek, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Kate Langbroek, Mick Molloy, Celia Pacquola, Sam Pang","Celia Pacquola","9:30 pm Monday","16 June 2014","227,000[18]"
2,21,13,"Ed Kavalee, Chrissie Swan, Lehmo, Cal Wilson, Sam Pang","Ed Kavalee, Chrissie Swan, Lehmo, Cal Wilson, Sam Pang","Chrissie Swan","9:30 pm Monday","23 June 2014","247,000[19]"
2,22,14,"Ed Kavalee, Glenn Robbins, Kate Langbroek, Celia Pacquola, Sam Pang","Ed Kavalee, Glenn Robbins, Kate Langbroek, Celia Pacquola, Sam Pang","Glenn Robbins","9:30 pm Monday","30 June 2014","235,000[20]"
2,23,15,"Ed Kavalee, Glenn Robbins, Dave Hughes, Akmal Saleh, Sam Pang","Ed Kavalee, Glenn Robbins, Dave Hughes, Akmal Saleh, Sam Pang","Dave Hughes","9:30 pm Monday","7 July 2014","268,000[21]"
2,24,16,"Ed Kavalee, Tegan Higginbotham, Mick Molloy, Cal Wilson, Peter Helliar","Ed Kavalee, Tegan Higginbotham, Mick Molloy, Cal Wilson, Peter Helliar","Ed Kavalee","8:40 pm Monday","14 July 2014","408,000[22]"
2,25,17,"Ed Kavalee, Jane Kennedy, Merrick Watts, Kate Langbroek, Sam Pang","Ed Kavalee, Jane Kennedy, Merrick Watts, Kate Langbroek, Sam Pang","Ed Kavalee","8:40 pm Monday","21 July 2014","498,000[23]"
2,26,18,"Ed Kavalee, Jane Kennedy, Mick Molloy, Troy Kinne, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Troy Kinne, Sam Pang","Ed Kavalee","8:30 pm Monday","4 August 2014","379,000[24]"
2,27,19,"Ed Kavalee, Lehmo, Merrick Watts, Akmal Saleh, Sam Pang","Ed Kavalee, Lehmo, Merrick Watts, Akmal Saleh, Sam Pang","Lehmo","8:30 pm Monday","11 August 2014","440,000[25]"
2,28,20,"Kate Langbroek, Glenn Robbins, Santo Cilauro, Michala Banas, Sam Pang","Kate Langbroek, Glenn Robbins, Santo Cilauro, Michala Banas, Sam Pang","Michala Banas","8:30 pm Monday","18 August 2014","435,000[26]"
2,29,21,"Ed Kavalee, Jane Kennedy, Santo Cilauro, Lehmo, Peter Helliar","Ed Kavalee, Jane Kennedy, Santo Cilauro, Lehmo, Peter Helliar","Jane Kennedy","8:30 pm Monday","25 August 2014","423,000[27]"
2,30,22,"Ed Kavalee, Glenn Robbins, Mick Molloy, Michala Banas, Merrick Watts","Ed Kavalee, Glenn Robbins, Mick Molloy, Michala Banas, Merrick Watts","Michala Banas","8:30 pm Monday","1 September 2014","430,000[28]"
2,31,23,"Ed Kavalee, Kate Langbroek, Lawrence Mooney, Arj Barker, Peter Helliar","Ed Kavalee, Kate Langbroek, Lawrence Mooney, Arj Barker, Peter Helliar","Kate Langbroek","8:30 pm Monday","8 September 2014","465,000[29]"
2,32,24,"Ed Kavalee, Jane Kennedy, Dave Hughes, Michala Banas, Sam Pang","Ed Kavalee, Jane Kennedy, Dave Hughes, Michala Banas, Sam Pang","Michala Banas","8:30 pm Monday","15 September 2014","509,000[30]"
2,33,25,"Ed Kavalee, Josh Lawson, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee, Josh Lawson, Mick Molloy, Celia Pacquola, Sam Pang","Ed Kavalee","8:30 pm Monday","22 September 2014","429,000[31]"
2,34,26,"Ed Kavalee, Glenn Robbins, Dave Hughes, Celia Pacquola, Sam Pang","Ed Kavalee, Glenn Robbins, Dave Hughes, Celia Pacquola, Sam Pang","Ed Kavalee","8:30 pm Monday","29 September 2014","484,000[32]"
3,36,1,"Ed Kavalee, Jane Kennedy, Mick Molloy, Fifi Box, Sam Pang","Ed Kavalee, Jane Kennedy, Mick Molloy, Fifi Box, Sam Pang","Mick Molloy","8:30 pm Monday","11 May 2015","562,000[33]"
